2022-08-06T20:35:33.01699306Z stderr F I0806 20:35:33.016029       1 serving.go:348] Generated self-signed cert in-memory
2022-08-06T20:35:37.594447424Z stderr F W0806 20:35:37.594383       1 requestheader_controller.go:193] Unable to get configmap/extension-apiserver-authentication in kube-system.  Usually fixed by 'kubectl create rolebinding -n kube-system ROLEBINDING_NAME --role=extension-apiserver-authentication-reader --serviceaccount=YOUR_NS:YOUR_SA'
2022-08-06T20:35:37.594469318Z stderr F W0806 20:35:37.594404       1 authentication.go:346] Error looking up in-cluster authentication configuration: configmaps "extension-apiserver-authentication" is forbidden: User "system:kube-scheduler" cannot get resource "configmaps" in API group "" in the namespace "kube-system"
2022-08-06T20:35:37.594473686Z stderr F W0806 20:35:37.594414       1 authentication.go:347] Continuing without authentication configuration. This may treat all requests as anonymous.
2022-08-06T20:35:37.594477237Z stderr F W0806 20:35:37.594421       1 authentication.go:348] To require authentication configuration lookup to succeed, set --authentication-tolerate-lookup-failure=false
2022-08-06T20:35:37.603162122Z stderr F I0806 20:35:37.603085       1 server.go:147] "Starting Kubernetes Scheduler" version="v1.24.0"
2022-08-06T20:35:37.603190496Z stderr F I0806 20:35:37.603105       1 server.go:149] "Golang settings" GOGC="" GOMAXPROCS="" GOTRACEBACK=""
2022-08-06T20:35:37.604179449Z stderr F I0806 20:35:37.604128       1 configmap_cafile_content.go:202] "Starting controller" name="client-ca::kube-system::extension-apiserver-authentication::client-ca-file"
2022-08-06T20:35:37.60425794Z stderr F I0806 20:35:37.604210       1 shared_informer.go:255] Waiting for caches to sync for client-ca::kube-system::extension-apiserver-authentication::client-ca-file
2022-08-06T20:35:37.604275047Z stderr F I0806 20:35:37.604249       1 secure_serving.go:210] Serving securely on 127.0.0.1:10259
2022-08-06T20:35:37.604600752Z stderr F I0806 20:35:37.604550       1 tlsconfig.go:240] "Starting DynamicServingCertificateController"
2022-08-06T20:35:37.606163208Z stderr F W0806 20:35:37.606085       1 reflector.go:324] vendor/k8s.io/client-go/informers/factory.go:134: failed to list *v1.PersistentVolume: persistentvolumes is forbidden: User "system:kube-scheduler" cannot list resource "persistentvolumes" in API group "" at the cluster scope
2022-08-06T20:35:37.606247328Z stderr F E0806 20:35:37.606202       1 reflector.go:138] vendor/k8s.io/client-go/informers/factory.go:134: Failed to watch *v1.PersistentVolume: failed to list *v1.PersistentVolume: persistentvolumes is forbidden: User "system:kube-scheduler" cannot list resource "persistentvolumes" in API group "" at the cluster scope
2022-08-06T20:35:37.606367404Z stderr F W0806 20:35:37.606329       1 reflector.go:324] vendor/k8s.io/client-go/informers/factory.go:134: failed to list *v1.Service: services is forbidden: User "system:kube-scheduler" cannot list resource "services" in API group "" at the cluster scope
2022-08-06T20:35:37.606430933Z stderr F E0806 20:35:37.606395       1 reflector.go:138] vendor/k8s.io/client-go/informers/factory.go:134: Failed to watch *v1.Service: failed to list *v1.Service: services is forbidden: User "system:kube-scheduler" cannot list resource "services" in API group "" at the cluster scope
2022-08-06T20:35:37.606695502Z stderr F W0806 20:35:37.606647       1 reflector.go:324] vendor/k8s.io/client-go/informers/factory.go:134: failed to list *v1.Namespace: namespaces is forbidden: User "system:kube-scheduler" cannot list resource "namespaces" in API group "" at the cluster scope
2022-08-06T20:35:37.606748565Z stderr F E0806 20:35:37.606721       1 reflector.go:138] vendor/k8s.io/client-go/informers/factory.go:134: Failed to watch *v1.Namespace: failed to list *v1.Namespace: namespaces is forbidden: User "system:kube-scheduler" cannot list resource "namespaces" in API group "" at the cluster scope
2022-08-06T20:35:37.606912878Z stderr F W0806 20:35:37.606866       1 reflector.go:324] vendor/k8s.io/client-go/informers/factory.go:134: failed to list *v1.Pod: pods is forbidden: User "system:kube-scheduler" cannot list resource "pods" in API group "" at the cluster scope
